sweep,condition_value,speed_m_per_s,robot_count,replication,split,causal_events,primary_events,unique_causal_robots,censored_causal_events,treated_traversal_rate_per_s,control_traversal_rate_per_s,attributable_rate_loss_per_s,attributable_severity_s,traversal_loss,collision_count,crossing_violation_count
speed,1.8,1.8,20,1,training,20,1,20,0,0.5871334953758397,0.6000000000000206,0.01286650462418093,51.46601849668974,1.5439805549017231,0,0
speed,1.8,1.8,20,2,training,15,1,15,0,0.5933656794840415,0.6000000000000206,0.00663432051597912,26.537282063896615,0.7961184619174891,0,0
speed,1.8,1.8,20,3,training,20,1,20,0,0.5858656976374312,0.6000000000000206,0.01413430236258939,56.53720945032257,1.6961162835107273,0,0
speed,1.8,1.8,20,4,training,20,1,20,0,0.5840239981567138,0.6000000000000206,0.01597600184330683,63.90400737319032,1.9171202211968088,0,0
speed,1.8,1.8,20,5,training,20,1,20,0,0.5779951828276259,0.6000000000000206,0.022004817172394775,88.01926868954106,2.6405780606873903,0,0
speed,1.8,1.8,20,6,validation,16,1,16,0,0.5919016398195441,0.6000000000000206,0.008098360180476494,32.393440721883366,0.9718032216571999,0,0
speed,1.8,1.8,20,7,validation,13,1,13,0,0.5950467718249494,0.6000000000000206,0.004953228175071267,19.812912700269727,0.5943873810085502,0,0
speed,1.8,1.8,20,8,validation,17,1,17,0,0.5907048862606685,0.6000000000000206,0.009295113739352101,37.18045495738316,1.115413648722255,0,0
speed,1.8,1.8,20,9,validation,20,1,20,0,0.5847458486006818,0.6000000000000206,0.015254151399338833,61.01660559731906,1.8304981679206642,0,0
speed,1.8,1.8,20,10,validation,20,1,20,0,0.5880436845734278,0.6000000000000206,0.011956315426592812,47.82526170633796,1.434757851191157,0,0
speed,1.8,1.8,20,11,validation,18,1,18,0,0.5894515381870956,0.6000000000000206,0.010548461812925014,42.193847251670725,1.2658154175509944,0,0
speed,2.0,2.0,20,0,training,20,1,20,0,0.637223238091451,0.6666666666666291,0.02944342857517812,105.99634287068608,3.5332114290214043,0,0
speed,2.0,2.0,20,1,training,20,1,20,0,0.6473827454330492,0.6666666666666291,0.019283921233579915,69.42211644092855,2.3140705480295978,0,0
speed,2.0,2.0,20,2,training,20,1,20,0,0.6469510973016266,0.6666666666666291,0.019715569365002517,70.97604971405026,2.3658683238003153,0,0
speed,2.0,2.0,20,3,training,20,1,20,0,0.6504065281091436,0.6666666666666291,0.016260138557485537,58.53649880698829,1.9512166268982771,0,0
speed,2.0,2.0,20,4,training,20,1,20,0,0.6335652657964866,0.6666666666666291,0.03310140087014246,119.16504313256111,3.97216810441711,0,0
speed,2.0,2.0,20,5,training,20,1,20,0,0.6331016762277308,0.6666666666666291,0.03356499043889827,120.83396558008145,4.027798852667822,0,0
speed,2.0,2.0,20,6,validation,20,1,20,0,0.6443327289387197,0.6666666666666291,0.02233393772790937,80.40217582051712,2.6800725273491457,0,0
speed,2.0,2.0,20,7,validation,20,1,20,0,0.6399270282225173,0.6666666666666291,0.026739638444111757,96.2626983988466,3.2087566132934415,0,0
speed,2.0,2.0,20,8,validation,20,1,20,0,0.6521554478742347,0.6666666666666291,0.014511218792394365,52.24038765265794,1.7413462550873517,0,0
speed,2.0,2.0,20,9,validation,20,1,20,0,0.6444505790109211,0.6666666666666291,0.02221608765570804,79.9779155605921,2.6659305186850006,0,0
speed,2.0,2.0,20,10,validation,20,1,20,0,0.6378852965153577,0.6666666666666291,0.028781370151271357,103.61293254462154,3.4537644181525695,0,0
speed,2.0,2.0,20,11,validation,20,1,20,0,0.6383754789806647,0.6666666666666291,0.028291187685964392,101.84827566951697,3.3949425223157528,0,0
density,8,1.2,8,0,training,1,1,1,0,0.15996146842045342,0.16000000000000505,3.853157955163722e-05,0.23118947730999073,0.004623789546199456,0,0
density,8,1.2,8,1,training,1,1,1,0,0.159544177196259,0.16000000000000505,0.0004558228037460643,2.7349368224763007,0.05469873644952704,0,0
density,8,1.2,8,2,training,2,1,2,0,0.15890441008746783,0.16000000000000505,0.0010955899125372204,6.573539475224168,0.13147078950446248,0,0
density,8,1.2,8,3,training,1,1,1,0,0.1596249132167091,0.16000000000000505,0.0003750867832959526,2.2505206997756813,0.04501041399551393,0,0
density,8,1.2,8,4,training,1,1,1,0,0.15960346822511998,0.16000000000000505,0.0003965317748850783,2.3791906493104564,0.04758381298621022,0,0
density,8,1.2,8,5,training,1,1,1,0,0.1595637380282243,0.16000000000000505,0.0004362619717807603,2.617571830684385,0.05235143661368843,0,0
density,8,1.2,8,6,validation,1,1,1,0,0.15968938141691733,0.16000000000000505,0.0003106185830877295,1.8637114985263723,0.037274229970528455,0,0
density,8,1.2,8,7,validation,1,1,1,0,0.15999997453618509,0.16000000000000505,2.5463819969262502e-08,0.00015278291987532277,3.055658397480935e-06,0,0
density,8,1.2,8,8,validation,1,1,1,0,0.15949078537949848,0.16000000000000505,0.0005092146205065706,3.0552877230393594,0.0611057544607893,0,0
density,8,1.2,8,9,validation,2,1,2,0,0.15878222065094855,0.16000000000000505,0.001217779349056508,7.30667609433994,0.14613352188678164,0,0
